state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Andhra Pradesh,Prakasam,Kandukur APMC,Paddy(Common),Other,Local,15/08/2026,2380,2450,2400
Andhra Pradesh,Anakapally,Narsipatnam APMC,Paddy(Common),1001,Local,15/08/2026,2390,2450,2400
Andhra Pradesh,Palnadu,Pidugurala APMC,Paddy(Common),Paddy,FAQ,15/08/2026,2390,2390,2390
Andhra Pradesh,Srikakulam,Palasa APMC,Paddy(Common),Common,FAQ,15/08/2026,2369,2369,2369
Andhra Pradesh,NTR,Kanchekacherla APMC,Maize,Hybrid,FAQ,15/08/2026,2400,2400,2400
Andhra Pradesh,Ananthapuramu,RAYADURG APMC,Maize,Local,Grade Range-2,15/08/2026,2300,2600,2450
Andhra Pradesh,Markapuram,Giddalur APMC,Bengal Gram(Gram)(Whole),Other,FAQ,15/08/2026,5850,6000,5900
Andhra Pradesh,YSR Kadapa,Jammalamadugu APMC,Bengal Gram(Gram)(Whole),Average (Whole),FAQ,15/08/2026,6000,6200,6100
Andhra Pradesh,Ananthapuramu,Guntakal APMC,Groundnut,Local,Local,15/08/2026,5500,7800,6700
Andhra Pradesh,Visakhapatnam,Bhimunipatnam APMC,Ragi(Finger Millet),Local,Local,15/08/2026,5000,5000,5000
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC,Tomato,Local,FAQ,15/08/2026,900,1600,1300
Andhra Pradesh,Dr.B.R.A.Konaseema,Mummidivaram APMC,Prawn,Prawn-White Prawn,FAQ,15/08/2026,20000,21000,20000
Andhra Pradesh,Kakinada,Peddapuram APMC,Paddy(Common),1001,FAQ,15/08/2026,2369,2389,2369
Andhra Pradesh,YSR Kadapa,Badvel APMC,Paddy(Common),Masuri,Local,15/08/2026,2360,2420,2380
Andhra Pradesh,Srikakulam,Kothabommali APMC,Paddy(Common),Paddy,Local,15/08/2026,2900,2900,2900
Andhra Pradesh,Bapatla,Parchur APMC,Paddy(Common),B P T,Local,15/08/2026,2500,2700,2600
Andhra Pradesh,Srikakulam,Srikakulam APMC,Paddy(Common),1001,FAQ,15/08/2026,2400,2400,2400
Andhra Pradesh,Vijayanagaram,Gajapathinagaram APMC,Maize,Local,Local,15/08/2026,2400,2400,2400
Andhra Pradesh,Nandyal,Koilkunta APMC,Jowar(Sorghum),Jowar ( White),FAQ,15/08/2026,3000,3400,3200
Andhra Pradesh,Ananthapuramu,Guntakal APMC,Bengal Gram(Gram)(Whole),Gulabi,Local,15/08/2026,6000,6200,6100
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC,Groundnut,Local,FAQ,15/08/2026,6500,7500,7000
Andhra Pradesh,YSR Kadapa,Jammalamadugu APMC,Cotton,Desi,FAQ,15/08/2026,8000,8500,8300
Andhra Pradesh,Markapuram,Yerragondapalem APMC,Cotton,170-C2  (Ginned),FAQ,15/08/2026,7500,7500,7500
Andhra Pradesh,SPSR Nellore,Kovur APMC,Paddy(Common),Paddy,Local,15/08/2026,2183,2369,2320
Andhra Pradesh,Ananthapuramu,RAYADURG APMC,Paddy(Common),I.R. 64,Grade Range-1,15/08/2026,3200,3700,3400
Andhra Pradesh,Eluru,Ungatur APMC,Paddy(Common),1001,Local,15/08/2026,2445,2445,2445
Andhra Pradesh,Kakinada,Prattipadu APMC,Paddy(Common),1001,FAQ,15/08/2026,2369,2380,2379
Andhra Pradesh,Kakinada,Karapa APMC,Paddy(Common),1001,FAQ,15/08/2026,2362,2369,2365
Andhra Pradesh,Parvathipuram Manyam,Kurupam APMC,Maize,Local,Local,15/08/2026,2400,2400,2400
Andhra Pradesh,Bapatla,Parchur APMC,Maize,Local,Local,15/08/2026,2300,2500,2400
