state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Andhra Pradesh,East Godavari,Anaparthy APMC,Paddy(Common),Paddy,FAQ,06/08/2026,2369,2430,2396
Andhra Pradesh,Prakasam,Addanki APMC,Maize,Local,FAQ,06/08/2026,2400,2420,2410
Andhra Pradesh,Tirupathi,Srikalahasti APMC,Groundnut,Local,Local,06/08/2026,6500,6800,6650
Andhra Pradesh,East Godavari,Mandapeta APMC,Paddy(Common),1001,FAQ,06/08/2026,2369,2400,2389
Andhra Pradesh,Eluru,Kaikaluru APMC,Paddy(Common),MTU-1001,Local,06/08/2026,2440,2440,2440
Andhra Pradesh,Srikakulam,Hiramandalam APMC,Maize,Medium,Local,06/08/2026,2200,2200,2200
Andhra Pradesh,East Godavari,Gopalapuram APMC,Maize,Local,Local,06/08/2026,2410,2410,2410
Andhra Pradesh,Palnadu,Macharla APMC,Red gram/Arhar/Tur(whole),Local,Grade Range-1,06/08/2026,8000,8000,8000
Andhra Pradesh,Palnadu,Macharla APMC,Cotton,Bunny,Grade Range-1,06/08/2026,7850,7850,7850
Andhra Pradesh,Markapuram,Kanigiri APMC,Red gram/Arhar/Tur(whole),(Whole),Local,06/08/2026,8500,8800,8700
Andhra Pradesh,Anakapally,Narsipatnam APMC,Paddy(Common),1001,Local,06/08/2026,2390,2450,2400
Andhra Pradesh,Anakapally,Yellamanchili APMC,Paddy(Common),1001,Local,06/08/2026,2390,2450,2400
Andhra Pradesh,Parvathipuram Manyam,Parvathipuram APMC,Maize,Local,Local,06/08/2026,2400,2400,2400
Andhra Pradesh,NTR,Tiruvuru APMC,Maize,Hybrid,Local,06/08/2026,2400,2400,2400
Andhra Pradesh,NTR,Tiruvuru APMC,Dry Chillies,Dry Chillies,Local,06/08/2026,21000,21000,21000
Andhra Pradesh,Kakinada,Karapa APMC,Paddy(Common),1001,FAQ,06/08/2026,2362,2369,2366
Andhra Pradesh,Tirupathi,B.N.Kandriga APMC,Paddy(Common),Paddy,Local,06/08/2026,2200,2200,2200
Andhra Pradesh,Palnadu,Narasaraopet APMC,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,06/08/2026,6000,6000,6000
Andhra Pradesh,Krishna,Gudlavalleru APMC,Black Gram Dal(Urd Dal),Black Gram Dal,FAQ,06/08/2026,9400,9400,9400
Andhra Pradesh,Dr.B.R.A.Konaseema,Alamuru APMC,Paddy(Common),Paddy,FAQ,06/08/2026,2369,2389,2369
Andhra Pradesh,Anakapally,Chodavaram APMC,Cashewnuts,Local(Raw),Local,06/08/2026,8000,12000,10000
Andhra Pradesh,Dr.B.R.A.Konaseema,Mummidivaram APMC,Paddy(Common),1121,FAQ,06/08/2026,2369,2468,2369
Andhra Pradesh,Dr.B.R.A.Konaseema,Mummidivaram APMC,Prawn,Prawn-White Prawn,FAQ,06/08/2026,20000,21000,20000
Andhra Pradesh,Vijayanagaram,Pusapatirega APMC,Maize,Local,FAQ,06/08/2026,4800,4800,4800
Andhra Pradesh,Ananthapuramu,Rapthadu APMC,Ground Nut Seed,Ground Nut Seed,Grade Range-1,06/08/2026,9500,11500,10500
Andhra Pradesh,Visakhapatnam,Pendurthi APMC,Black Gram Dal(Urd Dal),Black Gram Dal,Local,06/08/2026,7600,7600,7600
Andhra Pradesh,Kakinada,Sampara (Kakinada Rural) APMC,Paddy(Common),Paddy Medium,FAQ,06/08/2026,2369,2389,2379
Andhra Pradesh,Prakasam,Santhamaguluru APMC,Maize,Hybrid,FAQ,06/08/2026,2400,2450,2450
Andhra Pradesh,Nandyal,Allagadda APMC,Maize,Local,FAQ,06/08/2026,2100,2200,2150
Andhra Pradesh,Tirupathi,Vakadu APMC,Paddy(Common),B P T,Local,06/08/2026,2389,2410,2400
Andhra Pradesh,Nandyal,Atmakur (Nandyal District) APMC,Paddy(Common),Sona,FAQ,06/08/2026,2500,2500,2500
Andhra Pradesh,Markapuram,Cumbum APMC,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,06/08/2026,5800,5900,5850
Andhra Pradesh,Markapuram,Cumbum APMC,Cotton,Other,FAQ,06/08/2026,7800,8000,7900
Andhra Pradesh,Tirupathi,Srikalahasti APMC,Paddy(Common),Paddy Medium,Local,06/08/2026,2300,2600,2450
Andhra Pradesh,Sri Sathya Sai,Dharmavaram APMC,Paddy(Common),B P T,FAQ,06/08/2026,2000,2200,2100
Andhra Pradesh,Palnadu,Gurazala APMC,Chili Red,Red,Grade Range-1,06/08/2026,17000,28000,25000
Andhra Pradesh,Srikakulam,Kanchili APMC,Paddy(Common),1001,FAQ,06/08/2026,2400,2400,2400
Andhra Pradesh,Vijayanagaram,Kothavalasa APMC,Paddy(Common),1001,Local,06/08/2026,2369,2369,2369
Andhra Pradesh,NTR,Tiruvuru APMC,Rice,Sona,Local,06/08/2026,4800,4800,4800
Andhra Pradesh,Annamayya,Piler APMC,Gur(Jaggery),NO 3,Local,06/08/2026,4200,4800,4500
Andhra Pradesh,Kakinada,Samalkot APMC,Paddy(Common),Paddy,FAQ,06/08/2026,2369,2380,2369
Andhra Pradesh,Prakasam,Darsi APMC,Paddy(Common),B P T,Local,06/08/2026,2350,2400,2400
Andhra Pradesh,Palnadu,Narasaraopet APMC,Green Gram(Moong)(Whole),Local (Whole),FAQ,06/08/2026,7000,7000,7000
