state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Andhra Pradesh,Visakhapatnam,Bhimunipatnam APMC,Paddy(Common),Samba Masuri,Local,17/08/2026,2369,2369,2369
Andhra Pradesh,Kakinada,Kakinada (Urban) APMC,Paddy(Common),Common,FAQ,17/08/2026,2369,2390,2375
Andhra Pradesh,Kakinada,Jaggampet APMC,Paddy(Common),Common,FAQ,17/08/2026,2369,2380,2369
Andhra Pradesh,Srikakulam,Etcherla APMC,Paddy(Common),1121,FAQ,17/08/2026,2369,2369,2369
Andhra Pradesh,Polavaram,Rampachodvaram APMC,Paddy(Common),1001,Grade Range-2,17/08/2026,2369,2389,2379
Andhra Pradesh,Palnadu,Rompicherla APMC,Paddy(Common),Paddy,FAQ,17/08/2026,2300,2500,2450
Andhra Pradesh,Srikakulam,Hiramandalam APMC,Maize,Medium,Local,17/08/2026,2210,2210,2210
Andhra Pradesh,Sri Sathya Sai,Penukonda APMC,Groundnut,Local,FAQ,17/08/2026,7400,7600,7500
Andhra Pradesh,Chittor,S.R.Puram APMC,Gur(Jaggery),NO 3,Local,17/08/2026,1800,2100,2000
Andhra Pradesh,Vijayanagaram,Kothavalasa APMC,Paddy(Common),1001,Local,17/08/2026,2369,2369,2369
Andhra Pradesh,Kakinada,Prattipadu APMC,Paddy(Common),1001,FAQ,17/08/2026,2369,2389,2379
Andhra Pradesh,East Godavari,Mandapeta APMC,Paddy(Common),1001,FAQ,17/08/2026,2369,2400,2389
Andhra Pradesh,Srikakulam,Palasa APMC,Paddy(Common),Common,FAQ,17/08/2026,2369,2369,2369
Andhra Pradesh,Vijayanagaram,Bobbili APMC,Maize,Local,FAQ,17/08/2026,4800,4800,4800
Andhra Pradesh,Ananthapuramu,Gooti APMC,Groundnut,Local,Grade Range-1,17/08/2026,3512,5870,4690
Andhra Pradesh,Ananthapuramu,Gooti APMC,Cotton,Bramha,Grade Range-1,17/08/2026,6390,10369,9511
Andhra Pradesh,Palnadu,Macharla APMC,Cotton,Bunny,Grade Range-1,17/08/2026,8000,8000,8000
Andhra Pradesh,Dr.B.R.A.Konaseema,Razole APMC,Coconut,Medium,FAQ,17/08/2026,15400,15500,15400
Andhra Pradesh,Nandyal,Atmakur (Nandyal District) APMC,Paddy(Common),Sona,FAQ,17/08/2026,2470,2470,2470
Andhra Pradesh,Srikakulam,Kanchili APMC,Paddy(Common),1001,FAQ,17/08/2026,2400,2400,2400
Andhra Pradesh,Kakinada,Sampara (Kakinada Rural) APMC,Paddy(Common),1001,FAQ,17/08/2026,2369,2389,2379
Andhra Pradesh,Sri Sathya Sai,Penukonda APMC,Maize,Hybrid/Local,FAQ,17/08/2026,2450,2550,2500
Andhra Pradesh,Vijayanagaram,Chipurupalli APMC,Maize,Local,FAQ,17/08/2026,4800,4800,4800
Andhra Pradesh,Vijayanagaram,Pusapatirega APMC,Maize,Local,FAQ,17/08/2026,4800,4800,4800
Andhra Pradesh,Ananthapuramu,Kalyandurg APMC,Groundnut,Local,Grade Range-1,17/08/2026,8000,8500,8300
Andhra Pradesh,Palnadu,Gurazala APMC,Chili Red,Red,Grade Range-1,17/08/2026,17000,27500,24500
Andhra Pradesh,Ananthapuramu,Rapthadu APMC,Ground Nut Seed,Ground Nut Seed,Grade Range-1,17/08/2026,9500,11500,10500
Andhra Pradesh,Kakinada,Peddapuram APMC,Paddy(Common),1001,FAQ,17/08/2026,2369,2389,2369
Andhra Pradesh,Prakasam,Darsi APMC,Paddy(Common),B P T,Local,17/08/2026,2350,2400,2400
Andhra Pradesh,Krishna,Machilipatnam APMC,Paddy(Common),B P T,Local,17/08/2026,2746.66598,2973.33259,2866.66595
