state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Andhra Pradesh,Vijayanagaram,Rajam APMC,Maize,Local,FAQ,16/08/2026,4800,4800,4800
Andhra Pradesh,Kakinada,Karapa APMC,Paddy(Common),1001,FAQ,16/08/2026,2362,2369,2367
Andhra Pradesh,Kakinada,Peddapuram APMC,Paddy(Common),1001,FAQ,16/08/2026,2369,2390,2369
Andhra Pradesh,Visakhapatnam,Bhimunipatnam APMC,Ragi(Finger Millet),Local,Local,16/08/2026,5000,5000,5000
Andhra Pradesh,Tirupathi,Vakadu APMC,Paddy(Common),B P T,Local,16/08/2026,2389,2410,2400
Andhra Pradesh,Markapuram,Markapur APMC,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,16/08/2026,5450,5450,5450
Andhra Pradesh,Sri Sathya Sai,Dharmavaram APMC,Groundnut,Local,FAQ,16/08/2026,7000,7200,7100
Andhra Pradesh,Sri Sathya Sai,Dharmavaram APMC,Paddy(Common),B P T,Grade Range-1,16/08/2026,2625,2875,2750
Andhra Pradesh,Visakhapatnam,Bhimunipatnam APMC,Paddy(Common),Samba Masuri,Local,16/08/2026,2369,2369,2369
Andhra Pradesh,Srikakulam,Kothabommali APMC,Paddy(Common),Paddy,Local,16/08/2026,2800,2800,2800
Andhra Pradesh,Guntur,Phirangipuram APMC,Cotton,Cotton (Unginned),Local,16/08/2026,7600,8600,8100
Andhra Pradesh,Markapuram,Kanigiri APMC,Red gram/Arhar/Tur(whole),(Whole),Local,16/08/2026,8600,8800,8700
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley APMC,Beans,Local,Grade Range-2,16/08/2026,5000,5300,5200
Bihar,East Champaran/ Motihari,Chakia APMC,Brinjal,Arkasheela Mattigulla,Grade A,16/08/2026,2300,2500,2400
Bihar,East Champaran/ Motihari,Chakia APMC,Pointed gourd(Parval),Other,Grade A,16/08/2026,2300,2500,2400
Bihar,East Champaran/ Motihari,Chakia APMC,Tomato,Deshi,Grade A,16/08/2026,2800,3000,2900
Bihar,East Champaran/ Motihari,Chakia APMC,Bhindi(Ladies Finger),Bhindi,Grade A,16/08/2026,600,800,700
Haryana,Gurgaon,Gurgaon APMC,Apple,Apple,Grade B,16/08/2026,8000,10000,9000
Haryana,Gurgaon,Gurgaon APMC,Pomegranate,Other,Grade B,16/08/2026,5000,7000,6000
Haryana,Gurgaon,Gurgaon APMC,Banana,Other,Grade B,16/08/2026,2000,3000,2500
Haryana,Gurgaon,Gurgaon APMC,Guava,Guava,Grade B,16/08/2026,2000,4000,3000
Madhya Pradesh,Rewa,Rewa APMC,Gur(Jaggery),Jaggery,FAQ,16/08/2026,5725,5725,5725
Odisha,Sundergarh,Sargipali APMC,Capsicum,Other,FAQ,16/08/2026,8200,8800,8500
Odisha,Sundergarh,Sargipali APMC,Onion,Red,FAQ,16/08/2026,2500,2700,2600
Odisha,Sundergarh,Sargipali APMC,Tomato,Local,FAQ,16/08/2026,2300,2500,2400
Odisha,Sundergarh,Sargipali APMC,Pumpkin,Pumpkin,FAQ,16/08/2026,1000,1200,1100
Odisha,Sundergarh,Sargipali APMC,Potato,Other,FAQ,16/08/2026,1000,1200,1100
Odisha,Sundergarh,Sargipali APMC,Brinjal,Brinjal,FAQ,16/08/2026,3200,3600,3400
Odisha,Sundergarh,Sargipali APMC,Green Chilli,Other,FAQ,16/08/2026,9500,10000,9800
Odisha,Sundergarh,Sargipali APMC,Pointed gourd(Parval),Pointed gourd (Parval),FAQ,16/08/2026,2400,2600,2500
Rajasthan,Jalore,Jalore APMC,Brinjal,Brinjal,Local,16/08/2026,1200,1500,1300
Rajasthan,Jalore,Jalore APMC,Bitter gourd,Other,Local,16/08/2026,2000,2500,2300
Rajasthan,Jalore,Jalore APMC,Green Chilli,Green Chilly,Local,16/08/2026,1200,1500,1300
Rajasthan,Jalore,Jalore APMC,Ginger(Green),Other,Local,16/08/2026,4500,5000,4800
Rajasthan,Jalore,Jalore APMC,Capsicum,Other,Local,16/08/2026,2500,3000,2800
Rajasthan,Jalore,Jalore APMC,Tomato,Tomato,Local,16/08/2026,1800,2000,1900
Rajasthan,Jalore,Jalore APMC,Cabbage,Cabbage,Local,16/08/2026,1600,2000,1800
Rajasthan,Jalore,Jalore APMC,Cucumbar(Kheera),Cucumbar,Local,16/08/2026,1000,1400,1200
Rajasthan,Jalore,Jalore APMC,Lemon,Other,Local,16/08/2026,1800,2000,1900
Rajasthan,Jalore,Jalore APMC,Tinda,Tinda,Local,16/08/2026,1500,1800,1600
Rajasthan,Jalore,Jalore APMC,Potato,Potato,Local,16/08/2026,1200,1500,1300
Rajasthan,Jalore,Jalore APMC,Cauliflower,Cauliflower,Local,16/08/2026,2000,2500,2300
Rajasthan,Jalore,Jalore APMC,Coriander(Leaves),Coriander,Local,16/08/2026,3000,3500,3300
Rajasthan,Jalore,Jalore APMC,Cluster beans,Other,Local,16/08/2026,3500,4000,3800
Rajasthan,Jalore,Jalore APMC,Bottle gourd,Bottle Gourd,Local,16/08/2026,800,1000,900
Rajasthan,Jalore,Jalore APMC,Bhindi(Ladies Finger),Bhindi,Local,16/08/2026,1200,1500,1300
Rajasthan,Jalore,Jalore APMC,Ridgeguard(Tori),Other,Local,16/08/2026,2000,2400,2200
Telangana,Khammam,"Pavilion Ground,Khammam,RBZ",Tomato,Deshi,FAQ,16/08/2026,2400,2400,2400
Telangana,Khammam,"Sattupalli (Ramalayam),RBZ",Tomato,Tomato,FAQ,16/08/2026,2000,2800,2500
Tripura,North Tripura,Dasda APMC,Brinjal,Round/Long,FAQ,16/08/2026,2700,2700,2700
Tripura,North Tripura,Dasda APMC,Onion,Onion,FAQ,16/08/2026,2950,2950,2950
Tripura,North Tripura,Dasda APMC,Rice,Other,FAQ,16/08/2026,3250,3250,3250
Tripura,North Tripura,Dasda APMC,Potato,Other,FAQ,16/08/2026,1350,1350,1350
Uttar Pradesh,Badaun,Babrala APMC,Maize,Local,Local,16/08/2026,2080,2100,2090
Uttar Pradesh,Badaun,Babrala APMC,Potato,Desi,Medium,16/08/2026,580,600,590
Uttar Pradesh,Badaun,Babrala APMC,Wheat,Dara,Local,16/08/2026,2530,2550,2540
Uttar Pradesh,Badaun,Babrala APMC,Wood,Eucalyptus,Local,16/08/2026,530,550,540
