state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Andhra Pradesh,Kakinada,Peddapuram APMC,Paddy(Common),1001,FAQ,22/08/2026,2369,2390,2369
Andhra Pradesh,Kakinada,Kakinada (Urban) APMC,Paddy(Common),Common,FAQ,22/08/2026,2369,2390,2375
Andhra Pradesh,Vijayanagaram,Kothavalasa APMC,Paddy(Common),1001,Local,22/08/2026,2369,2369,2369
Andhra Pradesh,YSR Kadapa,Mydukur APMC,Paddy(Common),Masuri,Local,22/08/2026,2900,3100,3000
Andhra Pradesh,Srikakulam,Etcherla APMC,Paddy(Common),1121,FAQ,22/08/2026,2369,2369,2369
Andhra Pradesh,Sri Sathya Sai,Penukonda APMC,Maize,Hybrid/Local,FAQ,22/08/2026,2450,2600,2500
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC,Groundnut,Local,FAQ,22/08/2026,6500,7500,7000
Andhra Pradesh,Ananthapuramu,Gooti APMC,Cotton,Bramha,Grade Range-1,22/08/2026,5680,9890,9450
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Mango,Other,Local,22/08/2026,2300,2500,2400
Andhra Pradesh,Visakhapatnam,Bhimunipatnam APMC,Ragi(Finger Millet),Local,Local,22/08/2026,5000,5000,5000
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley APMC,Millets,Millets,Grade Range-1,22/08/2026,4000,4000,4000
Andhra Pradesh,Nandyal,Atmakur (Nandyal District) APMC,Paddy(Common),Sona,FAQ,22/08/2026,2470,2470,2470
Andhra Pradesh,Srikakulam,Kanchili APMC,Paddy(Common),1001,FAQ,22/08/2026,2400,2400,2400
Andhra Pradesh,Tirupathi,Vakadu APMC,Paddy(Common),B P T,Local,22/08/2026,2389,2410,2400
Andhra Pradesh,NTR,Vijayawada APMC,Paddy(Common),1001,Local,22/08/2026,2369,2369,2369
Andhra Pradesh,East Godavari,Mandapeta APMC,Paddy(Common),1001,FAQ,22/08/2026,2369,2400,2389
Andhra Pradesh,Vijayanagaram,Chipurupalli APMC,Maize,Local,FAQ,22/08/2026,4800,4800,4800
Andhra Pradesh,Nandyal,Koilkunta APMC,Jowar(Sorghum),Jowar ( White),FAQ,22/08/2026,2900,3300,3100
Andhra Pradesh,Markapuram,Giddalur APMC,Bengal Gram(Gram)(Whole),Other,FAQ,22/08/2026,5900,6000,5950
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Green Gram(Moong)(Whole),Local,Local,22/08/2026,8748,8768,8758
Andhra Pradesh,Prakasam,Darsi APMC,Cotton,Desi,Local,22/08/2026,8100,8200,8200
Andhra Pradesh,Ananthapuramu,Gooti APMC,Red gram/Arhar/Tur(whole),Local,Grade Range-1,22/08/2026,4800,6060,5760
Andhra Pradesh,Srikakulam,Hiramandalam APMC,Paddy(Common),Masuri,Local,22/08/2026,2400,2400,2400
Andhra Pradesh,Palnadu,Ipur APMC,Paddy(Common),Paddy,FAQ,22/08/2026,2450,2650,2550
Andhra Pradesh,Dr.B.R.A.Konaseema,Ramachandrapuram APMC,Paddy(Common),Paddy,FAQ,22/08/2026,2369,2380,2369
Andhra Pradesh,Kakinada,Karapa APMC,Paddy(Common),1001,FAQ,22/08/2026,2363,2369,2365
Andhra Pradesh,Srikakulam,Hiramandalam APMC,Maize,Medium,Local,22/08/2026,2210,2210,2210
Andhra Pradesh,Prakasam,Santhamaguluru APMC,Maize,Hybrid,FAQ,22/08/2026,2400,2470,2450
Andhra Pradesh,Prakasam,Maddipadu APMC,Bengal Gram(Gram)(Whole),Gulabi,FAQ,22/08/2026,6000,6000,6000
Andhra Pradesh,Markapuram,Markapur APMC,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,22/08/2026,5450,5450,5450
Andhra Pradesh,Markapuram,Cumbum APMC,Cotton,Other,FAQ,22/08/2026,7900,8100,8000
Andhra Pradesh,YSR Kadapa,Yerraguntla APMC,Onion,Local,FAQ,22/08/2026,2600,3000,2800
Andhra Pradesh,Palnadu,Gurazala APMC,Chili Red,Red,Local,22/08/2026,15000,22000,19500
Andhra Pradesh,Prakasam,Maddipadu APMC,Bajra(Pearl Millet/Cumbu),Bold,FAQ,22/08/2026,2550,2550,2550
Andhra Pradesh,Palnadu,Ipur APMC,Red gram/Arhar/Tur(whole),Local,FAQ,22/08/2026,6900,7900,7500
Andhra Pradesh,Eluru,Kaikaluru APMC,Paddy(Common),MTU-1001,Local,22/08/2026,2440,2440,2440
Andhra Pradesh,Visakhapatnam,Bhimunipatnam APMC,Paddy(Common),Samba Masuri,Local,22/08/2026,2369,2369,2369
Andhra Pradesh,Bapatla,Chirala APMC,Paddy(Common),B P T,Local,22/08/2026,2400,2500,2450
Andhra Pradesh,Srikakulam,Kothabommali APMC,Paddy(Common),Paddy,Local,22/08/2026,3200,3200,3200
Andhra Pradesh,Kakinada,Pithapuram APMC,Paddy(Common),1001,FAQ,22/08/2026,2369,2389,2379
Andhra Pradesh,Polavaram,Rampachodvaram APMC,Paddy(Common),1001,Grade Range-2,22/08/2026,2369,2389,2379
Andhra Pradesh,Srikakulam,Etcherla APMC,Maize,Deshi White,Local,22/08/2026,2400,2400,2400
Andhra Pradesh,Markapuram,Cumbum APMC,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,22/08/2026,5700,5900,5800
Andhra Pradesh,Tirupathi,Srikalahasti APMC,Groundnut,Local,Local,22/08/2026,6500,6800,6650
Andhra Pradesh,Dr.B.R.A.Konaseema,Ravulapalem (Kothapeta APMC),Banana,Amruthapani,Local,22/08/2026,2500,3900,3700
Andhra Pradesh,Palnadu,Gurazala APMC,Chili Red,Red,Grade Range-1,22/08/2026,17000,27000,24000
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Cashewnuts,Local(Raw),Local,22/08/2026,10000,11000,10500
Andhra Pradesh,Dr.B.R.A.Konaseema,Razole APMC,Coconut,Medium,FAQ,22/08/2026,15500,16000,15500
Andhra Pradesh,Prakasam,Darsi APMC,Paddy(Common),B P T,Local,22/08/2026,2500,2600,2600
Andhra Pradesh,Prakasam,Maddipadu APMC,Paddy(Common),B P T,FAQ,22/08/2026,2800,2800,2800
Andhra Pradesh,Dr.B.R.A.Konaseema,Mummidivaram APMC,Paddy(Common),1121,FAQ,22/08/2026,2369,2468,2369
Andhra Pradesh,Prakasam,Santhamaguluru APMC,Paddy(Common),B P T,FAQ,22/08/2026,2500,2580,2550
Andhra Pradesh,Tirupathi,Srikalahasti APMC,Paddy(Common),Paddy Medium,Local,22/08/2026,2300,2600,2450
Andhra Pradesh,Kakinada,Sampara (Kakinada Rural) APMC,Paddy(Common),Paddy Medium,FAQ,22/08/2026,2369,2389,2379
Andhra Pradesh,Kakinada,Samalkot APMC,Paddy(Common),Paddy,FAQ,22/08/2026,2369,2380,2369
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Paddy(Common),1001,Local,22/08/2026,2349,2369,2359
Andhra Pradesh,Parvathipuram Manyam,Kurupam APMC,Maize,Hybrid/Local,Local,22/08/2026,2400,2400,2400
Andhra Pradesh,Parvathipuram Manyam,Parvathipuram APMC,Maize,Hybrid/Local,Local,22/08/2026,2400,2400,2400
